trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2052F553442:2022-02-04T20:25:18Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F553442:2022-02-04T20:25:18Z,18:27:00,18:30:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2052F553442:2022-02-04T20:25:18Z,19:19:00,19:19:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2052F553820:2022-01-31T20:33:42Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F553820:2022-01-31T20:33:42Z,18:27:00,18:30:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2052F553820:2022-01-31T20:33:42Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2052F712906:2022-02-02T10:53:24Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F712906:2022-02-02T10:53:24Z,18:27:00,18:30:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2052F712906:2022-02-02T10:53:24Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2052F733145:2022-02-04T20:25:18Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F733145:2022-02-04T20:25:18Z,18:27:00,18:30:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2052F733145:2022-02-04T20:25:18Z,19:23:00,19:23:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2058F527029:2022-01-26T20:39:16Z,14:48:00,14:48:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2058F527029:2022-01-26T20:39:16Z,16:35:00,16:35:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2058F555656:2022-01-26T20:39:16Z,14:48:00,14:48:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
